CustomerNBR,JoinDate,ContractType,PaymentMethod,Status,TariffType,MonthlyUsage_kWh,Email,PhoneNumber,Postcode,DOB
CUST100035,2021-05-29,Fixed,Bank Transfer,Pending,Peak/Off-Peak,518.86,tranheidi@little.com,184.322.2591,21233,2005-03-20
CUST100036,2023-08-22,Fixed,Direct Debit,Cancelled,Economy,243.75,taylor75@sheppard.info,+1-365-177-7392x60302,04457,1977-10-17
CUST100037,2023-07-06,Rolling,PayPal,Inactive,Green,717.47,moralescharles@parks.com,001-922-809-2024,19753,1980-03-11
CUST100038,2022-11-01,Variable,Direct Debit,Inactive,Peak/Off-Peak,930.8,davidduran@carlson.biz,(869)904-1379,48374,1957-10-12
CUST100039,2020-12-14,Variable,Credit Card,Cancelled,Standard,899.02,levans@yahoo.com,723.692.9298x4257,19018,1993-02-10
CUST100040,2024-06-29,Variable,Bank Transfer,Inactive,Economy,792.86,lynchjody@gmail.com,+1-913-662-1038x862,10854,1967-07-02
CUST100041,2025-02-23,Fixed,PayPal,Inactive,Green,721.26,donna23@arnold.com,+1-127-990-8811x729,32619,1987-11-07
CUST100042,2021-08-24,Fixed,Direct Debit,Inactive,Standard,674.84,enorris@yahoo.com,+1-068-650-8637,10602,1960-10-22
CUST100043,2023-10-22,Variable,Bank Transfer,Active,Economy,946.57,keithcampbell@jones-hall.com,001-659-916-2473x14986,02136,1988-02-12
CUST100044,2021-04-03,Fixed,Bank Transfer,Cancelled,Standard,430.79,owilson@hernandez.com,300-981-8063x565,75104,1941-08-10
CUST100045,2025-04-13,Fixed,Direct Debit,Inactive,Economy,298.76,brooke94@martinez-barker.biz,269-448-6959,55091,1992-12-26
CUST100046,2023-01-29,Variable,Bank Transfer,Cancelled,Green,961.62,mkim@gmail.com,636-887-2588x744,20124,1952-02-16
CUST100047,2023-08-30,Fixed,Bank Transfer,Inactive,Green,530.36,cassandra01@gmail.com,001-562-137-2138,24411,1987-09-21
CUST100048,2025-06-30,Variable,PayPal,Inactive,Standard,509.48,barbara27@pearson.org,(589)026-0127x9611,62074,1958-03-25
CUST100049,2022-03-22,Variable,Bank Transfer,Cancelled,Economy,989.95,ecosta@yahoo.com,351-906-6984x902,97960,1989-06-14
CUST100050,2021-03-06,Rolling,PayPal,Pending,Peak/Off-Peak,436.26,manuel12@yahoo.com,+1-770-384-3098x8392,18865,1977-11-19
CUST100051,2020-12-22,Variable,Bank Transfer,Cancelled,Green,731.75,zroberts@hotmail.com,+1-053-021-4656x69380,98556,2004-12-26
CUST100052,2022-07-11,Fixed,Credit Card,Pending,Peak/Off-Peak,921.52,qmiller@wilson-barton.net,001-118-489-5543x9376,69634,1956-02-25
CUST100053,2023-01-18,Rolling,Credit Card,Active,Peak/Off-Peak,781.62,mgutierrez@cox.com,001-042-681-8184,92063,1994-02-12
CUST100054,2021-04-06,Variable,PayPal,Cancelled,Standard,821.8,andrea47@washington.com,184-894-7697x35779,39758,1966-01-08
CUST100055,2022-07-26,Rolling,PayPal,Pending,Standard,843.04,andrea86@walker.info,7141633565,62129,1948-02-21
CUST100056,2021-06-11,Fixed,Credit Card,Inactive,Standard,785.67,tyronemoran@thornton.info,804.341.6518x27553,54440,1951-10-12
CUST100057,2023-10-27,Variable,Bank Transfer,Active,Economy,712.31,yarnold@weeks.com,001-423-733-3433,95208,2003-03-20
CUST100058,2022-12-13,Fixed,PayPal,Cancelled,Green,636.23,kendra65@adams.org,395.211.1790,44716,1950-09-12
CUST100059,2024-06-10,Rolling,Direct Debit,Pending,Green,808.63,seanwashington@yahoo.com,001-807-595-7947x28463,58693,1987-12-10
CUST100060,2023-09-09,Variable,Bank Transfer,Pending,Peak/Off-Peak,572.96,mcantu@hotmail.com,001-920-867-8085x62718,85022,1970-01-02
CUST100061,2021-12-20,Rolling,Bank Transfer,Cancelled,Standard,575.36,xhall@williams-garner.biz,500.369.1559x428,91628,1956-03-26
CUST100062,2023-09-26,Rolling,Credit Card,Pending,Economy,425.61,tylerjohnson@hotmail.com,347-955-2763x655,02232,1978-06-19
CUST100063,2023-08-10,Variable,PayPal,Cancelled,Green,925.52,sawyerscott@hotmail.com,(472)929-3143x8663,38088,1962-04-27
CUST100064,2022-05-14,Rolling,Bank Transfer,Pending,Economy,200.99,bowenrobert@hotmail.com,(270)267-2885,15084,1947-04-12
CUST100065,2022-11-09,Fixed,PayPal,Inactive,Standard,845.9,harrisontanya@hanson-sanders.com,448.906.1203x4717,20933,1947-04-13
CUST100066,2021-03-11,Rolling,PayPal,Cancelled,Standard,912.6,ofinley@hotmail.com,001-545-588-4506x1593,08365,1938-01-28
CUST100067,2022-01-15,Fixed,PayPal,Cancelled,Green,281.94,williamsonjimmy@hotmail.com,001-982-455-8771,84708,1994-02-13
CUST100068,2025-02-16,Fixed,Credit Card,Active,Peak/Off-Peak,582.99,juliehamilton@gmail.com,(947)225-6996x1125,04710,1936-02-27
CUST100069,2022-09-01,Rolling,PayPal,Inactive,Peak/Off-Peak,248.08,tjackson@williams.com,554.496.4759,79691,1955-06-02
CUST100070,2021-12-22,Fixed,Credit Card,Cancelled,Standard,869.04,ryan38@yahoo.com,762.202.3413x26111,98953,1938-05-16
CUST100071,2024-07-08,Variable,Direct Debit,Pending,Standard,497.66,gregorylynch@harvey-allen.org,800.681.1492x1643,23252,1945-04-22
CUST100072,2023-10-24,Fixed,Bank Transfer,Pending,Peak/Off-Peak,712.27,stevenking@estrada-nolan.info,472.282.0055,66468,1986-08-19
CUST100073,2022-11-18,Fixed,Bank Transfer,Pending,Standard,745.23,charleslandry@hotmail.com,784.872.8299x7968,21518,1938-01-11
CUST100074,2025-04-28,Fixed,Direct Debit,Active,Green,539.95,dvaughn@yahoo.com,+1-845-783-1745x6424,01925,1952-05-09
CUST100075,2022-06-15,Variable,Credit Card,Cancelled,Green,909.0,gcastaneda@james.org,0825478077,52456,1996-05-02
CUST100076,2023-05-06,Variable,Bank Transfer,Pending,Economy,500.93,andrew64@gmail.com,064-930-8536x8663,56025,1983-04-30
CUST100077,2021-01-22,Variable,Credit Card,Active,Peak/Off-Peak,150.07,swall@lawson.com,(663)416-3894,89617,1959-12-23
CUST100078,2022-07-14,Rolling,Credit Card,Active,Standard,218.75,erica21@lucas.org,846-312-2417x9749,60046,1967-03-19
CUST100079,2020-11-09,Variable,Credit Card,Cancelled,Economy,473.88,christopherphillips@hotmail.com,350.208.0214x4270,73135,1964-10-07
CUST100080,2023-04-09,Fixed,Direct Debit,Pending,Green,607.52,jamesbuchanan@yahoo.com,120.735.6475,93746,1974-12-31
CUST100081,2023-12-31,Variable,Direct Debit,Inactive,Peak/Off-Peak,602.92,jonathansummers@yahoo.com,051.204.6187x234,34324,1960-12-19
CUST100082,2022-11-11,Variable,Credit Card,Pending,Green,705.49,linda71@gmail.com,(013)673-0371x8376,75482,2007-06-16
CUST100083,2021-02-23,Fixed,PayPal,Inactive,Standard,377.35,zcoffey@diaz.net,+1-452-088-1474x35031,66282,1967-12-19
CUST100084,2022-05-19,Rolling,Direct Debit,Inactive,Economy,119.59,vrichardson@baker.com,650.249.1630,40613,1986-01-17
CUST100085,2025-05-30,Variable,PayPal,Pending,Standard,329.01,thomasharvey@murphy.info,9792513271,93477,1970-01-14
CUST100086,2023-04-06,Rolling,PayPal,Inactive,Standard,102.71,cwilson@gmail.com,+1-950-052-8127x35857,30295,1941-08-18
CUST100087,2022-05-24,Rolling,Credit Card,Active,Peak/Off-Peak,296.11,pwilson@hotmail.com,001-306-524-0778x4873,56032,1972-01-04
CUST100088,2024-10-31,Rolling,PayPal,Active,Peak/Off-Peak,165.73,qchavez@horton.com,001-285-574-9821,21053,1945-11-17
CUST100089,2023-12-14,Fixed,PayPal,Pending,Standard,481.33,basschristina@yahoo.com,274.485.7086x20959,36129,1954-02-25
CUST100090,2024-06-27,Rolling,PayPal,Cancelled,Peak/Off-Peak,730.35,jeff73@garcia-jennings.net,518.638.7829,12551,1937-09-26
CUST100091,2021-10-19,Rolling,Credit Card,Active,Economy,587.05,sandersjames@gmail.com,565-118-1022x0317,68855,1948-08-29
CUST100092,2022-11-02,Fixed,Credit Card,Pending,Economy,154.23,batesdarlene@hotmail.com,109.678.9940,49988,1949-09-07
CUST100093,2021-10-09,Rolling,Direct Debit,Inactive,Standard,904.8,buchananjohn@buchanan.com,(391)037-1705x865,16902,1997-01-27
CUST100094,2022-09-07,Rolling,Direct Debit,Active,Economy,987.52,lisahall@kramer.com,001-094-801-4138x113,97905,1951-04-14
CUST100095,2025-05-12,Fixed,PayPal,Pending,Standard,524.86,vanessafernandez@gmail.com,+1-633-839-2886,28270,1949-02-27
CUST100096,2025-03-03,Fixed,Credit Card,Pending,Economy,358.38,andersonmichael@chapman.com,001-195-761-2286x8528,52982,1953-11-21
CUST100097,2022-10-27,Variable,Credit Card,Cancelled,Green,261.98,martinezrobert@gmail.com,+1-755-855-6659x398,81640,1973-01-11
CUST100098,2025-07-23,Variable,PayPal,Inactive,Standard,221.89,xwest@wheeler.org,684.577.6004,07840,1970-03-30
CUST100099,2024-03-25,Variable,Direct Debit,Inactive,Economy,677.37,stephen00@boone-simmons.com,+1-082-404-3350x488,29193,1959-03-04
CUST100100,2025-07-19,Rolling,Credit Card,Inactive,Green,756.36,fjones@yahoo.com,+1-992-107-5224,51919,1947-03-19
CUST100101,2023-12-25,Rolling,Direct Debit,Pending,Standard,967.4,martinezclaudia@kelley.net,(933)441-9693x157,24578,1945-02-12
CUST100102,2023-08-31,Rolling,PayPal,Pending,Economy,437.01,bwagner@gmail.com,(791)940-9610,98280,2001-11-08
CUST100103,2022-06-14,Fixed,Credit Card,Inactive,Economy,902.2,russellbeasley@morgan-chavez.biz,001-556-613-9060x48058,73808,1983-10-10
CUST100104,2021-10-05,Rolling,PayPal,Pending,Green,503.68,ronald45@mcdaniel.com,001-258-320-6799,79810,1962-11-22
CUST100105,2024-12-02,Variable,Bank Transfer,Cancelled,Peak/Off-Peak,925.4,daviscolin@watson.net,136.462.2517x90864,10620,1987-10-10
CUST100106,2024-10-13,Fixed,PayPal,Pending,Peak/Off-Peak,439.75,jenkinsmorgan@yahoo.com,686-227-8376,91258,1948-04-15
CUST100107,2021-05-11,Fixed,PayPal,Pending,Green,172.22,caroline51@romero.com,+1-938-983-3146x5911,61899,2001-06-01
CUST100108,2020-12-26,Fixed,PayPal,Active,Green,967.73,danny49@gmail.com,+1-665-535-5904x25979,63076,1937-07-29
CUST100109,2021-07-08,Variable,Credit Card,Cancelled,Standard,887.1,lynchdiane@hotmail.com,(703)352-1103,41551,1990-11-24
CUST100110,2021-11-19,Variable,PayPal,Active,Peak/Off-Peak,219.69,whitejacqueline@yahoo.com,+1-240-514-7705x383,86051,1944-08-07
CUST100111,2021-12-12,Variable,PayPal,Inactive,Standard,874.26,adam29@hotmail.com,884.879.2069,84634,2000-10-19
CUST100112,2024-03-05,Fixed,Bank Transfer,Inactive,Economy,206.77,thomascynthia@gmail.com,+1-804-204-3940x70164,53598,1944-12-21
CUST100113,2021-02-15,Fixed,Credit Card,Cancelled,Green,993.56,nicholaschavez@wood.com,+1-510-463-6815x79812,50369,1963-03-17
CUST100114,2023-11-10,Rolling,Bank Transfer,Pending,Standard,453.75,moorekaren@craig.info,878.003.8457,22104,1991-09-26
CUST100115,2023-10-31,Rolling,PayPal,Active,Green,214.61,alawson@yahoo.com,(205)554-3840x4608,07666,1985-08-28
CUST100116,2024-07-26,Variable,Credit Card,Cancelled,Standard,980.85,reeddaniel@gregory.com,325-621-6893x639,49191,1977-04-07
CUST100117,2025-01-31,Fixed,Bank Transfer,Active,Economy,851.34,djoyce@harris.com,(649)578-2329,85258,1995-12-14
CUST100118,2022-09-22,Rolling,PayPal,Pending,Economy,780.56,mark07@hotmail.com,+1-324-826-2925,56104,1956-07-06
CUST100119,2025-04-16,Variable,Direct Debit,Active,Peak/Off-Peak,980.64,davidpatel@gmail.com,881-252-0566,26024,1959-01-22
CUST100120,2020-09-06,Variable,Bank Transfer,Cancelled,Peak/Off-Peak,516.7,sandersjudy@yahoo.com,742-312-2099x4999,35879,1975-04-01
CUST100121,2021-07-23,Rolling,Credit Card,Pending,Economy,747.18,umorse@patterson.com,933.051.7289,14709,1935-12-20
CUST100122,2025-02-25,Variable,Bank Transfer,Pending,Standard,481.72,usmith@solis.info,526.772.2330x6046,14184,1958-11-27
CUST100123,2022-11-08,Fixed,Bank Transfer,Cancelled,Green,441.35,kimdaniel@yahoo.com,331.279.7573,10699,1938-11-13
CUST100124,2023-06-24,Variable,Bank Transfer,Pending,Economy,306.7,fosterkyle@yahoo.com,(609)656-9998x80817,48041,1950-07-16
CUST100125,2021-07-14,Fixed,Direct Debit,Active,Economy,514.56,kimberly18@wilson.com,038.860.8680x347,79562,1981-03-30
CUST100126,2023-01-30,Fixed,Credit Card,Inactive,Standard,239.61,joelthomas@gmail.com,(447)264-9082x7718,44471,1981-10-13
CUST100127,2024-04-13,Rolling,Credit Card,Cancelled,Economy,269.63,kathleenrios@bean.info,298-266-5702,04177,2000-06-12
CUST100128,2021-12-06,Rolling,Credit Card,Active,Economy,887.69,kmaldonado@hotmail.com,937.145.2111x751,31896,1935-04-09
CUST100129,2024-06-11,Rolling,PayPal,Pending,Standard,788.94,edward17@yahoo.com,689.268.6025x92222,37490,1956-02-22
CUST100130,2020-08-12,Variable,Credit Card,Inactive,Economy,129.0,brittany58@gmail.com,001-064-474-2123x09407,21834,2005-08-06
CUST100131,2022-10-29,Rolling,Credit Card,Active,Peak/Off-Peak,694.18,dhayes@yahoo.com,780.973.3977x6719,71485,1969-03-23
CUST100132,2024-11-04,Rolling,Direct Debit,Cancelled,Peak/Off-Peak,653.43,newmantiffany@gmail.com,+1-038-498-3022x050,14455,1951-02-19
CUST100133,2022-02-08,Variable,PayPal,Pending,Peak/Off-Peak,942.61,ycarpenter@hotmail.com,(099)451-0162,09062,1960-10-31
CUST100134,2024-11-26,Rolling,PayPal,Cancelled,Peak/Off-Peak,900.14,kstout@lopez.com,(499)982-7950,28276,1938-08-11
CUST100135,2021-06-28,Variable,Bank Transfer,Active,Economy,316.6,shepherdmary@hotmail.com,455-616-8147,78765,2007-07-13
CUST100136,2023-02-15,Variable,PayPal,Inactive,Green,160.56,benjaminzimmerman@warren-bishop.com,(145)868-3390,01939,1937-09-21
CUST100137,2024-11-26,Fixed,PayPal,Active,Peak/Off-Peak,634.55,paul59@gmail.com,981-794-6954,99659,2005-01-31
CUST100138,2022-04-11,Fixed,Direct Debit,Active,Peak/Off-Peak,501.8,riveraangela@yahoo.com,995.299.7877x29343,41017,2004-03-26
CUST100139,2021-11-19,Rolling,Credit Card,Pending,Economy,704.82,jennifer92@yahoo.com,1071396605,25108,1955-04-28
CUST100140,2023-10-07,Variable,PayPal,Cancelled,Economy,884.99,sabrinacollins@hale.com,(830)344-1448x850,72812,1964-01-10
CUST100141,2021-12-16,Fixed,PayPal,Active,Standard,320.26,vschneider@gmail.com,556-990-2355,26941,1984-03-31
CUST100142,2025-03-04,Fixed,Direct Debit,Active,Peak/Off-Peak,139.81,bromero@parker-bean.com,+1-770-272-7857x60849,84175,1950-03-18
CUST100143,2025-02-04,Fixed,PayPal,Inactive,Standard,495.07,jeremytaylor@gmail.com,001-588-039-5512x4056,04743,1964-02-12
CUST100144,2020-08-03,Fixed,PayPal,Inactive,Peak/Off-Peak,585.78,romeroamber@hotmail.com,+1-829-962-9145x0461,32002,1938-08-08
CUST100145,2023-05-06,Rolling,Direct Debit,Cancelled,Green,778.95,nancy92@bennett.org,357.438.4215x0317,35781,1979-03-02
CUST100146,2024-09-28,Fixed,Bank Transfer,Cancelled,Economy,798.46,xwilliams@ball.info,078.235.7845x21823,11647,1953-06-12
CUST100147,2020-10-01,Rolling,Bank Transfer,Pending,Economy,226.12,kylestokes@mckee-lee.org,001-076-810-4091x5701,75228,1964-06-30
CUST100148,2021-07-15,Variable,PayPal,Cancelled,Standard,994.14,xhammond@yahoo.com,409.435.3344x85714,74530,1945-12-10
CUST100149,2023-09-03,Rolling,PayPal,Inactive,Standard,310.75,lisasolis@gmail.com,(241)098-8138,06382,1951-10-25
CUST100150,2023-03-15,Fixed,Credit Card,Cancelled,Economy,924.76,davidsonmorgan@hotmail.com,(854)249-3214x958,74391,1971-01-02
CUST100151,2022-08-15,Variable,PayPal,Active,Economy,618.5,mitchellkathryn@cole-palmer.biz,020.701.6016x629,63914,1971-11-01
CUST100152,2021-01-28,Variable,Credit Card,Cancelled,Economy,619.73,lisawilkerson@perry.net,001-795-453-8179,06488,2000-02-17
CUST100153,2022-08-20,Rolling,Bank Transfer,Cancelled,Peak/Off-Peak,795.28,paulmiller@gmail.com,(171)747-7332,06798,1961-09-14
CUST100154,2025-05-30,Variable,PayPal,Pending,Peak/Off-Peak,836.54,sarah52@johnson.com,+1-456-255-7701x715,41733,1947-02-07
CUST100155,2021-04-03,Rolling,PayPal,Active,Green,313.21,fgilbert@gmail.com,724.599.2816x1581,12718,1982-01-09
CUST100156,2021-04-25,Variable,Direct Debit,Pending,Peak/Off-Peak,888.63,marydunn@hotmail.com,876-963-9382x7615,40950,1974-08-23
CUST100157,2024-09-19,Rolling,PayPal,Inactive,Economy,987.13,parsonsjohn@gmail.com,966.958.3219,01612,1998-02-24
CUST100158,2021-03-05,Fixed,Bank Transfer,Cancelled,Peak/Off-Peak,569.13,robertbauer@brown-copeland.info,199.758.1724x6191,47247,2002-01-24
CUST100159,2025-02-12,Rolling,PayPal,Cancelled,Standard,472.2,jennifercarter@mendez.org,+1-965-701-3290x22784,99025,1993-12-07
CUST100160,2021-08-27,Rolling,Credit Card,Inactive,Economy,347.64,elizabethmiller@yahoo.com,(997)335-4946x5190,37516,2004-05-11
CUST100161,2021-09-04,Fixed,PayPal,Pending,Peak/Off-Peak,601.05,myerstheodore@hughes.com,+1-862-405-8008x514,52685,1989-01-07
CUST100162,2024-08-17,Rolling,Credit Card,Active,Economy,632.5,john19@sherman.com,3696566668,66065,1960-11-10
CUST100163,2025-04-06,Rolling,Direct Debit,Pending,Standard,761.69,epollard@white.info,272.386.5624,26044,1968-08-16
CUST100164,2021-12-28,Variable,PayPal,Pending,Standard,257.62,james30@mahoney-robertson.net,+1-220-102-7621x26796,41719,1958-02-15
CUST100165,2022-11-03,Rolling,Direct Debit,Active,Peak/Off-Peak,710.88,benjamin34@yahoo.com,+1-278-687-6532x690,99046,1961-07-08
CUST100166,2025-01-27,Variable,Direct Debit,Cancelled,Economy,600.27,joshua56@paul-kline.biz,001-738-468-9500,51703,1972-11-03
CUST100167,2024-03-08,Fixed,PayPal,Pending,Green,142.2,tylerjimenez@hotmail.com,001-751-971-2847,95618,1988-01-19
CUST100168,2022-05-22,Variable,Credit Card,Inactive,Standard,409.97,acostachristian@hotmail.com,189.137.1894x90580,47141,1948-08-03
CUST100169,2025-03-04,Variable,PayPal,Active,Green,678.98,manuel15@phillips.com,787.956.5442x0949,17477,1976-12-28
CUST100170,2022-04-18,Fixed,Credit Card,Cancelled,Peak/Off-Peak,443.04,sergio59@yahoo.com,079-290-4904x712,92599,1957-02-17
CUST100171,2023-03-28,Variable,Direct Debit,Active,Standard,572.02,jonesdana@yahoo.com,144.294.4401x92927,88933,1962-08-07
CUST100172,2023-12-24,Fixed,Bank Transfer,Inactive,Green,726.68,thomascathy@johnson-jones.com,(243)728-0512x927,13264,2000-12-24
CUST100173,2023-10-06,Rolling,PayPal,Active,Standard,467.43,cherring@hotmail.com,001-663-723-9504x10276,43927,1993-07-31
CUST100174,2024-04-24,Rolling,Bank Transfer,Active,Green,369.9,xrush@hines-berry.net,478.366.7428x6047,53884,1995-04-23
CUST100175,2024-12-27,Variable,Credit Card,Pending,Economy,265.49,redwards@gmail.com,(580)185-6945x4414,97684,1992-04-04
CUST100176,2024-06-04,Rolling,PayPal,Inactive,Economy,584.14,fitzgeraldvictor@mcintyre-wilson.com,+1-967-393-8525x8001,66506,1971-07-24
CUST100177,2021-08-12,Fixed,Bank Transfer,Inactive,Peak/Off-Peak,316.87,wendymitchell@yahoo.com,6181753443,13739,1977-12-20
CUST100178,2022-09-11,Rolling,Bank Transfer,Inactive,Standard,302.81,taylorcharles@roach.com,0910939111,66322,1949-03-23
CUST100179,2022-07-01,Fixed,PayPal,Active,Green,871.79,jenna88@yahoo.com,+1-269-212-4471x746,20186,1986-09-20
CUST100180,2021-02-16,Rolling,Bank Transfer,Inactive,Peak/Off-Peak,229.92,jenniferho@hotmail.com,001-542-140-6650x442,03605,1993-01-06
CUST100181,2023-06-18,Variable,PayPal,Inactive,Economy,516.72,william13@young.com,173.962.7128x639,77463,1961-10-08
CUST100182,2020-10-06,Rolling,Bank Transfer,Inactive,Economy,151.86,tanner82@hotmail.com,+1-174-101-1947x0720,50585,1982-08-14
CUST100183,2025-04-18,Rolling,Direct Debit,Pending,Peak/Off-Peak,471.41,parkeryvonne@mendoza.org,6425690877,63016,1985-06-25
CUST100184,2022-07-17,Rolling,PayPal,Inactive,Standard,474.86,teresaday@owens-holmes.com,(618)306-7198x55460,77356,1943-05-02
CUST100185,2022-06-17,Fixed,Direct Debit,Active,Green,576.99,ryanbartlett@guerra.com,+1-158-517-4328x0634,05404,1995-10-01
CUST100186,2020-08-24,Fixed,Direct Debit,Pending,Economy,449.58,fernandodonovan@gmail.com,001-615-717-3203x093,38527,1957-05-07
CUST100187,2021-03-10,Variable,Bank Transfer,Inactive,Peak/Off-Peak,329.5,meghan43@hotmail.com,618.478.7005x0506,21632,1939-03-08
CUST100188,2021-01-31,Fixed,Credit Card,Inactive,Economy,397.24,colleenmendez@gmail.com,387-829-3102,20363,2004-03-07
CUST100189,2022-07-14,Rolling,Direct Debit,Pending,Economy,171.16,georgeweber@morgan.com,079.032.0204x1792,89941,1969-01-10
CUST100190,2021-02-27,Rolling,Direct Debit,Inactive,Green,504.81,frykelli@curtis-wang.biz,001-111-799-3136,61201,1990-05-12
CUST100191,2020-11-07,Fixed,Direct Debit,Active,Standard,433.97,ismall@may-turner.com,651-982-5309x25114,10823,1974-07-12
CUST100192,2023-05-25,Rolling,Credit Card,Active,Standard,582.07,shawn02@yahoo.com,(625)827-3902,82545,2006-10-15
CUST100193,2021-03-10,Variable,Credit Card,Inactive,Green,846.47,vmarshall@hotmail.com,962-071-0021,12728,1982-07-12
CUST100194,2024-12-16,Variable,Direct Debit,Active,Peak/Off-Peak,146.38,michelle55@anderson-wood.net,001-946-723-2487x632,94671,1988-10-17
CUST100195,2022-08-11,Fixed,Credit Card,Pending,Peak/Off-Peak,439.45,john14@wright-davis.com,+1-092-791-4560x833,30853,1938-08-30
